"zone","value","timestep","severity","forest","mortality"
1,1416,2008,"low",918960,0.00154087229041525
4,408,2008,"low",106716,0.00382323175531317
5,4668,2008,"low",3541452,0.00131810342198624
6,826,2008,"low",2981142,0.000277075026952758
7,0,2008,"low",29700,0
8,177,2008,"low",967344,0.000182975239418449
9,1037,2008,"low",1002378,0.00103453986420293
13,236,2008,"low",381732,0.000618234782517578
14,25,2008,"low",381174,6.55868448530068e-05
78,2388,2008,"low",2370510,0.00100737815913031
80,19,2008,"low",144534,0.000131456958224362
81,0,2008,"low",19776,0
1,0,2008,"medium",918960,0
4,12,2008,"medium",106716,0.000112447992803328
5,14,2008,"medium",3541452,3.95318078573421e-06
6,13,2008,"medium",2981142,4.36074497625407e-06
7,0,2008,"medium",29700,0
8,0,2008,"medium",967344,0
9,213,2008,"medium",1002378,0.000212494687632809
13,0,2008,"medium",381732,0
14,0,2008,"medium",381174,0
78,112,2008,"medium",2370510,4.72472168436328e-05
80,0,2008,"medium",144534,0
81,0,2008,"medium",19776,0
1,3,2008,"high",918960,3.26455993732045e-06
4,0,2008,"high",106716,0
5,8,2008,"high",3541452,2.25896044899098e-06
6,6,2008,"high",2981142,2.01265152750188e-06
7,0,2008,"high",29700,0
8,0,2008,"high",967344,0
9,159,2008,"high",1002378,0.000158622794993505
13,0,2008,"high",381732,0
14,0,2008,"high",381174,0
78,1,2008,"high",2370510,4.21850150389579e-07
80,0,2008,"high",144534,0
81,0,2008,"high",19776,0
